samples,r.squared,distinct,points,removed,final,remaining
RC2_0015_ICR-2_p08,0.925223424412063,649,680,77,603,0.886764705882353
RC2_0015_ICR-3_p08,0.920552293425257,598,619,78,541,0.873990306946688
RC2_0016_ICR-1_p08,0.934830193118776,690,712,69,643,0.903089887640449
RC2_0016_ICR-2_p08,0.906073938136563,576,595,87,508,0.853781512605042
RC2_0016_ICR-3_p08,0.930268532276531,682,715,89,626,0.875524475524476
RC2_0017_ICR-1_p08,0.93050911400336,703,731,78,653,0.893296853625171
RC2_0017_ICR-2_p08,0.898876790512443,574,594,65,529,0.890572390572391
RC2_0017_ICR-3_p08,0.930434062048636,662,693,90,603,0.87012987012987
RC2_0018_ICR-1_p08,0.923353701811757,616,636,65,571,0.897798742138365
RC2_0018_ICR-2_p08,0.912153218283351,620,637,67,570,0.894819466248038
RC2_0018_ICR-3_p08,0.921415428105972,618,648,70,578,0.891975308641975
RC2_0019_ICR-2_p08,0.912529720758677,629,640,71,569,0.8890625
RC2_0019_ICR-3_p08,0.92118768869731,606,624,68,556,0.891025641025641
RC2_0020_ICR-1_p08,0.922037740113913,622,636,66,570,0.89622641509434
RC2_0020_ICR-2_p08,0.933916553635775,707,732,71,661,0.903005464480874
RC2_0020_ICR-3_p08,0.930134164693581,638,658,56,602,0.914893617021277
RC2_0021_ICR-1_p08,0.935301386374233,713,748,87,661,0.883689839572192
RC2_0021_ICR-2_p08,0.92749076590153,649,672,90,582,0.866071428571429
RC2_0021_ICR-3_p08,0.914151191612593,600,618,73,545,0.881877022653722
RC2_0022_ICR-1_p08,0.922440726693204,635,655,61,594,0.906870229007634
RC2_0022_ICR-2_p08,0.929652778079812,695,720,76,644,0.894444444444444
RC2_0022_ICR-3_p08,0.922555348267815,653,686,84,602,0.877551020408163
RC2_0023_ICR-1_p08,0.920475373946054,608,632,70,562,0.889240506329114
RC2_0023_ICR-2_p08,0.919873075592483,635,658,79,579,0.879939209726444
RC2_0023_ICR-3_p08,0.924481148190179,624,650,90,560,0.861538461538462
RC2_0024_ICR-1_p08,0.9061478453473,579,598,85,513,0.857859531772575
RC2_0024_ICR-2_p08,0.930184561435938,626,654,87,567,0.86697247706422
RC2_0024_ICR-3_p08,0.917490979847311,629,652,75,577,0.884969325153374
RC2_0025_ICR-1_p08,0.923948921241452,652,669,79,590,0.881913303437967
RC2_0025_ICR-2_p08,0.917651036284977,609,628,70,558,0.888535031847134
RC2_0025_ICR-3_p08,0.919708765915552,614,634,61,573,0.903785488958991
RC2_0026_ICR-1_p08,0.925601508021117,639,657,65,592,0.901065449010654
RC2_0026_ICR-2_p08,0.925196104535411,655,672,77,595,0.885416666666667
RC2_0026_ICR-3_p08,0.932467565517798,663,680,69,611,0.898529411764706
RC2_0027_ICR-1_p08,0.929766384543108,654,677,70,607,0.896602658788774
RC2_0027_ICR-2_p08,0.921309006887906,627,647,88,559,0.863987635239567
RC2_0027_ICR-3_p08,0.92460701398395,632,660,73,587,0.889393939393939
RC2_0028_ICR-1_p08,0.930189937481405,669,695,81,614,0.883453237410072
RC2_0028_ICR-2_p08,0.928912516009861,675,698,72,626,0.896848137535817
RC2_0028_ICR-3_p08,0.914303150371972,615,628,58,570,0.907643312101911
RC2_0029_ICR-1_p08,0.923428317682429,671,700,87,613,0.875714285714286
RC2_0029_ICR-2_p08,0.920289266809039,634,662,91,571,0.862537764350453
RC2_0029_ICR-3_p08,0.914896164913883,647,678,83,595,0.877581120943953
RC2_0030_ICR-1_p08,0.916096855195768,619,641,55,586,0.914196567862715
RC2_0030_ICR-2_p08,0.918596737109418,659,691,91,600,0.868306801736614
RC2_0030_ICR-3_p08,0.903182249822564,573,588,72,516,0.877551020408163
RC2_0031_ICR-1_p08,0.886780518046492,565,567,67,500,0.881834215167548
RC2_0031_ICR-2_p08,0.906093714261293,632,648,78,570,0.87962962962963
RC2_0031_ICR-3_p08,0.909157881430657,579,590,68,522,0.884745762711864
RC2_0032_ICR-1_p08,0.929806836226789,687,698,74,624,0.893982808022923
RC2_0032_ICR-2_p08,0.923519135938421,661,672,82,590,0.87797619047619
RC2_0032_ICR-3_p08,0.927052334463062,656,667,77,590,0.88455772113943
RC2_0033_ICR-1_p08,0.923790159917936,632,653,97,556,0.85145482388974
RC2_0033_ICR-2_p08,0.929052208988934,666,686,84,602,0.877551020408163
RC2_0033_ICR-3_p08,0.925535954740406,638,659,88,571,0.866464339908953
