sample,Site,Date,Watershed,WsAreaSqKm,tt_hr,streamorde,COMID,q_daily_cms,q_daily_mm,Twat_degC,DOC_mgL
RC2_0039,T42,2021-06-03,Yakima,2465.9001,23.29594772,6,78017687,27.614832,1.1198682379711978e-5,12.43,1.51
RC2_0040,T03,2021-06-03,Yakima,8977.0689,100.9879873,7,78018211,216.9312,2.4165036763837244e-5,16.53,1.59
RC2_0041,T02,2021-06-03,Yakima,13461.462,161.0828996,7,78018972,111.0144,8.246830841999182e-6,21.67,1.62
RC2_0042,T07,2021-06-03,Yakima,14144.7249,182.0686142,7,78018963,103.0848,7.287861780896142e-6,23.47,1.58
RC2_0043,T06,2021-06-10,Yakima,206.2035,18.62961404,3,78017752,11.01648,5.3425281336155785e-5,6.5,0.59
RC2_0044,T05P,2021-06-10,Yakima,383.8644,53.48371031,4,78018214,87.084,2.268613604178976e-4,9.73,1.05
RC2_0045,T42,2021-06-10,Yakima,2465.9001,25.76045282,6,78017687,11.945376,4.844225441249628e-6,13.37,1.08
RC2_0046,T03,2021-06-10,Yakima,8977.0689,109.0464183,7,78018211,114.4128,1.2745006334974214e-5,15.77,1.39
RC2_0048,T07,2021-06-10,Yakima,14144.7249,200.7928053,7,78018963,45.5952,3.223477326165601e-6,19.5,1.69
RC2_0049,T02,2021-06-17,Yakima,13461.462,163.8574895,7,78018972,96.288,7.152863485407454e-6,17.83,1.63
RC2_0050,T06,2021-06-17,Yakima,206.2035,18.16556295,3,78017752,13.5936,6.592322632739019e-5,7.7,0.7
RC2_0051,T05P,2021-06-17,Yakima,383.8644,55.25737725,4,78018214,66.35376,1.7285729023061266e-4,11.2,1.1
RC2_0052,T42,2021-06-17,Yakima,2465.9001,25.95709112,6,78017687,11.211888,4.5467730018746505e-6,14.3,1.02
RC2_0053,T03,2021-06-17,Yakima,8977.0689,105.1292345,7,78018211,155.1936,1.7287780870212545e-5,17.43,1.34
RC2_0054,T07,2021-06-17,Yakima,14144.7249,182.7402808,7,78018963,99.9696,7.067624199605325e-6,21,1.76
RC2_0055,T06,2021-06-24,Yakima,206.2035,18.09422592,3,78017752,14.04672,6.812066720496985e-5,11.83,0.69
RC2_0056,T05P,2021-06-24,Yakima,383.8644,53.8991089,4,78018214,81.64656,2.1269635840156053e-4,16.2,0.97
RC2_0057,T42,2021-06-24,Yakima,2465.9001,27.30547396,6,78017687,7.351872,2.981415183851122e-6,16.37,0.9
RC2_0058,T03,2021-06-24,Yakima,8977.0689,105.2449315,7,78018211,153.7776,1.713004564329455e-5,17.13,1.23
RC2_0059,T02,2021-06-24,Yakima,13461.462,168.9853583,7,78018972,74.4816,5.532950284300472e-6,23.47,1.52
RC2_0060,T07,2021-06-24,Yakima,14144.7249,189.3095673,7,78018963,74.4816,5.265680352680454e-6,22.47,1.51
RC2_0061,T06,2021-07-08,Yakima,206.2035,20.72542341,3,78017752,4.5312,2.1974408775796727e-5,15.17,0.56
RC2_0062,T05P,2021-07-08,Yakima,383.8644,64.10056724,4,78018214,19.2576,5.0167715474526944e-5,16.53,0.94
RC2_0063,T42,2021-07-08,Yakima,2465.9001,30.59893805,6,78017687,2.84616,1.1542073419762626e-6,18.13,0.99
RC2_0064,T03,2021-07-08,Yakima,8977.0689,109.5426435,7,78018211,110.1648,1.227180065422022e-5,17.4,1.29
RC2_0065,T02,2021-07-08,Yakima,13461.462,188.6692186,7,78018972,29.736,2.2089725469640667e-6,24.9,1.89
RC2_0066,T07,2021-07-08,Yakima,14144.7249,216.7277395,7,78018963,24.12864,1.7058401750888772e-6,24.97,1.89
RC2_0067,T06,2021-07-15,Yakima,206.2035,21.63174959,3,78017752,3.17184,1.5382086143057707e-5,16.63,0.47
RC2_0068,T05P,2021-07-15,Yakima,383.8644,65.62563599,4,78018214,15.83088,4.1240813162147885e-5,20.67,0.97
RC2_0069,T42,2021-07-15,Yakima,2465.9001,31.45289813,6,78017687,2.262768,9.17623548496551e-7,19.87,1.04
RC2_0070,T03,2021-07-15,Yakima,8977.0689,110.4557615,7,78018211,102.8016,1.1451577474246633e-5,18.27,1.26
RC2_0071,T02,2021-07-15,Yakima,13461.462,190.9970969,7,78018972,26.84736,1.994386642401843e-6,25.2,1.88
RC2_0072,T07,2021-07-15,Yakima,14144.7249,221.4469246,7,78018963,20.16384,1.4255377989005642e-6,25,1.93
RC2_0073,T07,2021-07-22,Yakima,14144.7249,226.5906438,7,78018963,16.65216,1.177269979990915e-6,22.97,1.88
RC2_0074,T02,2021-07-22,Yakima,13461.462,190.0060997,7,78018972,28.0368,2.082745544280406e-6,22.7,1.81
RC2_0075,T03,2021-07-22,Yakima,8977.0689,110.0607776,7,78018211,105.9168,1.1798594973466228e-5,16.3,1.21
RC2_0076,T42,2021-07-22,Yakima,2465.9001,31.99471851,6,78017687,1.962576,7.9588625670602e-7,17.37,0.97
RC2_0077,T05P,2021-07-22,Yakima,383.8644,66.32092074,4,78018214,14.49984,3.777333871023205e-5,18,0.92
RC2_0078,T06,2021-07-22,Yakima,206.2035,22.14844652,3,78017752,2.60544,1.2635285046083119e-5,14.8,0.44
RC2_0079,T06,2021-07-29,Yakima,206.2035,22.64072644,3,78017752,2.169312,1.0520248201412682e-5,16.1,0.46
RC2_0080,T05P,2021-07-29,Yakima,383.8644,66.83654532,4,78018214,13.5936,3.541250504084255e-5,19.1,1.09
RC2_0081,T42,2021-07-29,Yakima,2465.9001,32.62514469,6,78017687,1.668048,6.764458949492723e-7,18.5,1.07
RC2_0082,T03,2021-07-29,Yakima,8977.0689,110.6397552,7,78018211,101.3856,1.1293842247328635e-5,18.43,1.24
RC2_0083,T02,2021-07-29,Yakima,13461.462,186.2350686,7,78018972,33.1344,2.4614265523313885e-6,22.67,1.82
RC2_0084,T07,2021-07-29,Yakima,14144.7249,225.9517314,7,78018963,17.04864,1.2053002176097466e-6,23.73,1.85
RC2_0085,T06,2021-08-12,Yakima,206.2035,23.24064218,3,78017752,1.744512,8.46014737868174e-6,14.87,0.37
RC2_0086,T05P,2021-08-12,Yakima,383.8644,63.74782078,4,78018214,20.16384,5.252854914391645e-5,17.77,0.75
RC2_0087,T42,2021-08-12,Yakima,2465.9001,33.14731211,6,78017687,1.461312,5.926079487161706e-7,16.6,0.83
RC2_0088,T03,2021-08-12,Yakima,8977.0689,111.1319354,7,78018211,97.704,1.088373065734184e-5,21.1,1.13
RC2_0089,T02,2021-08-12,Yakima,13461.462,186.044967,7,78018972,33.4176,2.482464386111999e-6,23,1.66
