sample,Site,Date,Watershed,WsAreaSqKm,tt_hr,streamorde,COMID,q_daily_cms,q_daily_mm,Twat_degC,DOC_mgL,mon,depth,vf_md,Da
WROL2019_146,WHY-SIS,2020-05-07,Deschutes,166.2804,20.90597531,3,78023762.0,1.200768,7.221344187288461e-06,3.6,0.893,5,0.2000065264841014,0.017242863951026054,0.07509731773313207
WROL2019_147,DES-MAD,2020-05-07,Deschutes,18388.1277,3647.433427,6,78021674.0,107.8992,5.8678731059715226e-06,12.5,0.752,5,0.6290291567322173,0.03195406377964115,7.720251591345648
WROL2019_148,TRO-GAT,2020-05-07,Deschutes,1668.3183,54.84274906,5,78021831.0,0.611712,3.666638434644037e-07,17.6,3.368,5,0.3192723495943937,0.045504190775519295,0.3256852285948777
WROL2019_149,DES-MOO,2020-05-13,Deschutes,25189.3503,2929.261242,6,78020390.0,137.0688,5.441537727950054e-06,15.4,0.978,5,0.8060513415161334,0.03906832541293053,5.915738320438119
WROL2019_150,WIL-POR,2020-06-21,Willamette,28921.6503,1358.591738,7,78020394.0,600.384,2.0758981378043974e-05,17.5,1.359,6,1.467647204942807,0.0451898703701034,1.7429990531598831
WROL2019_151,DES-MOO,2020-06-21,Deschutes,25189.3503,2930.936247,6,78020390.0,126.024,5.003066712681351e-06,17.0,0.9,6,0.7678530501045489,0.04365053748988732,6.942351714341891
WROL2019_152,DES-MOO,2020-07-30,Deschutes,25189.3503,2932.884451,6,78020390.0,114.4128,4.542110004321946e-06,18.7,0.901,7,0.7153324255922929,0.049109407564224695,8.38958531084797
WROL2019_153,WIL-POR,2020-07-30,Willamette,28921.6503,1375.907652,7,78020394.0,199.0896,6.883756560738167e-06,23.8,1.28,7,1.2885060165851998,0.0699342614474905,3.111584405505963
WROL2019_154,DES-MOO,2020-09-03,Deschutes,25189.3503,2932.884451,6,78020390.0,114.4128,4.542110004321946e-06,17.4,0.764,9,0.6697239667152547,0.04487772113432215,8.188769867178767
WROL2019_155,WIL-POR,2020-09-03,Willamette,28921.6503,1375.118806,7,78020394.0,208.7184,7.216683620574721e-06,22.2,1.039,9,1.1296982855272315,0.06259291731233554,3.174619675790446
WROL2019_162,CT-EBRA,2019-08-05,Connecticut,139.3335,20.39356396,3,73001057.0,0.93456,6.707360397894261e-06,19.0,2.428,8,0.5018111954652876,0.05014130060936998,0.08490575657532573
WROL2019_164,CT-POPE,2019-08-06,Connecticut,11.1456,1.724717251,1,73001606.0,0.029736,2.667958656330749e-06,12.1,0.789,8,0.3227173668394359,0.03108027822519568,0.006921006006207207
WROL2019_165,CT-W9,2019-08-06,Connecticut,0.41,1.013016508,1,73001606.0,1.006417071,0.0024546757829268,14.6,1.133,8,0.3227173668394359,0.03696088800166685,0.004834208085173651
