Name,Mass,WROL2019_084,WROL2019_078
C1H5N1O_1S1,47.019356,7,14
C1H5O_1N1S1e1,94.9638,2,3
C1H5O2,49.028955,0,0
C1H5O2P1,80.002718,4,2
C1H6O1,34.041865,175,289
C1H7N3,61.063997,0,0
C1H7N3O1,77.058912,1,0
C1N7O14P3S1,458.843689,0,0
C1O_1N2,24.011233,8,3
C1O6P2,169.917016,0,1
C2,24,207,307
C20H12O1,268.088815,0,0
C20H18O2N2,318.136828,0,3
C20H21N1O3,323.152144,0,0
C20H21N7O6,455.155333,0,0
C20H24O1N2,308.188863,0,2
C20H28,268.2191,0,1
C20H28O_1,252.224185,0,0
C20H28O1,284.214015,0,1
C20H29N3O18P2,661.092143,0,0
C20H30O1,286.229665,0,4
C20H30O3,318.219495,1,16
C20H32,272.2504,0,2
C20H32O1,288.245315,0,0
C20H34O1,290.260965,2,4
C20H34O14N7P3S1,721.109739,0,0
C20H36O1,292.276615,2,1
C20H38,278.29735,1,1
C20H38O1,294.292265,2,3
C20H39N7O4S1,473.278425,0,0
C20H7O1Cl2N3,374.9966,0,0
C21H20O2N2,332.152478,0,4
C21H22O3N2,350.163043,0,0
C21H23O4N1,353.162709,0,0
C21H24N2O2,336.183778,0,1
C21H25N1O14,515.127509,0,0
C21H26N7O13P2,646.106389,0,0
C21H32N7O16P3S1,763.083919,0,0
C21H33N7O12P2S1,669.138321,0,0
C21H34,286.26605,0,0
C21H34N7O15S1P3,749.104654,0,0
C21H34O2,318.25588,0,0
C21H35N7O15P3S1,750.112479,0,0
C21H36N7O14P3S1,735.125389,0,0
C21H36N7O16P3S1,767.115219,0,0
C21H41N5O12,555.275175,0,0
C22H18N2O4,374.126658,0,0
C22H27O4N7,453.212453,0,0
C22H30O1,310.229665,0,2
C22H32O1,312.245315,0,0
C22H34O1,314.260965,0,3
C22H35N8O16P3S1,792.110468,0,0
C22H38N7O16P3S1,781.130869,0,0
C22H38O1,318.292265,0,0
C22H40O1,320.307915,0,1
C22H42O1,322.323565,0,0
C23H21O11N3,515.117612,0,0
C23H34N4O19P2,732.129257,0,0
C23H35N1O4S1,421.228681,0,1
C23H37N7O16P3S1,792.123044,0,0
