sample,NA,Lignin,Other,Tannin,Protein,Lignin_Amino Sugar,Lipid_Protein,Lipid,Cond_Hydrocarbon,Unsat_Hydrocarbon,Amino_Sugar,Carbohydrate,Tannin_Cond Hydrocarbon,Unsat Hydrocarbon_Cond Hydrocarbon,Protein_Amino Sugar,Carbohydrate_Amino Sugar,Protein_Lignin,Protein_Lignin_Amino Sugar,Lignin_Tannin
WROL2019_151,1319,785,248,86,879,41,9,136,47,35,123,33,5,0,25,12,2,1,5
WROL2019_152,1772,1032,357,121,765,45,8,170,98,49,115,56,6,0,22,12,3,1,7
WROL2019_153,1383,1519,341,300,805,64,10,128,240,29,146,74,17,4,26,11,2,1,9
WROL2019_154,1219,1108,259,140,629,46,9,99,86,22,105,52,9,1,13,7,2,1,7
WROL2019_155,1591,1825,490,422,1110,78,14,195,338,63,185,132,20,5,25,16,3,1,11
WROL2019_162,1962,2040,807,450,775,78,8,202,614,200,121,66,27,20,21,10,6,2,11
WROL2019_164,1523,760,267,139,406,38,4,123,88,28,64,45,3,2,4,5,3,1,9
WROL2019_165,1494,1415,343,325,768,60,10,166,256,35,124,45,18,4,18,4,2,1,11
WROL2019_166,1509,1702,412,348,944,68,12,145,341,58,152,64,18,4,22,14,2,1,9
WROL2019_167,1723,1785,585,349,775,71,8,146,425,78,146,75,20,6,22,13,3,1,10
WROL2019_168,1599,1692,377,334,805,62,8,146,417,59,136,64,20,6,19,13,3,1,10
WROL2019_169,1310,930,280,128,935,46,12,127,93,46,135,54,7,2,23,9,2,1,7
WROL2019_170,1341,2021,411,412,824,80,7,114,416,65,140,75,26,7,21,8,2,1,11
WROL2019_171,1392,1767,387,338,840,71,7,137,326,50,144,64,21,5,23,12,3,1,9
WROL2019_172,1451,1598,380,277,757,60,10,130,280,53,114,63,18,5,18,9,5,1,9
WROL2019_173,1920,1871,573,306,1003,70,13,268,360,74,161,97,18,7,24,12,3,1,10
WROL2019_174,1412,1678,375,401,779,65,9,113,358,51,129,51,23,4,21,7,2,1,9
WROL2019_175,2296,1955,845,427,1021,76,12,189,497,210,162,98,29,19,29,13,4,2,12
WROL2019_176,1465,1412,366,325,745,64,9,117,255,35,124,48,20,5,17,7,2,1,9
WROL2019_177,1336,1509,342,316,899,62,10,121,234,47,149,49,20,3,25,11,2,1,8
WROL2019_178,1234,1949,415,477,774,72,9,96,397,48,134,55,24,5,19,8,3,1,10
WROL2019_179,1621,2163,470,411,866,77,10,130,441,68,139,61,21,5,19,8,5,1,10
