Sample,CHONS,CHONP,CHON,CHO,CHOS,CHOP,CHONSP,CHOSP
RC2_0057,78,184,471,2582,322,1171,180,116
RC2_0058,100,253,595,2551,594,1128,230,143
RC2_0059,96,267,723,2508,684,1113,216,110
RC2_0060,92,233,825,2600,496,1092,246,135
RC2_0061,69,278,461,2211,226,1210,120,112
RC2_0062,89,219,523,2573,344,1153,212,134
RC2_0063,75,276,557,2582,448,1091,192,115
RC2_0064,63,230,615,2537,320,1071,175,130
RC2_0065,114,355,905,2333,560,1076,170,111
RC2_0066,96,215,913,2384,440,966,197,122
RC2_0067,79,247,401,2026,167,1112,96,123
RC2_0068,84,191,457,2529,346,1227,166,116
RC2_0069,80,235,503,2660,414,1140,184,138
RC2_0070,83,217,570,2564,374,1091,184,132
RC2_0071,104,262,908,2419,523,1060,221,115
RC2_0072,107,238,855,2354,439,1072,195,141
RC2_0073,77,236,857,2432,441,981,179,130
RC2_0074,90,257,896,2335,422,1009,170,113
RC2_0075,65,211,609,2497,394,1212,192,115
RC2_0076,56,212,513,2643,357,1172,186,127
RC2_0077,89,245,507,2693,320,1120,184,139
RC2_0078,50,271,442,2037,181,1161,97,123
RC2_0079,69,341,461,1972,178,1048,90,137
RC2_0080,90,256,527,2416,277,1081,171,120
RC2_0081,62,247,563,2462,280,1083,165,153
RC2_0082,102,284,750,2575,428,1227,207,130
RC2_0083,92,299,944,2341,462,1080,178,117
RC2_0084,98,268,983,2497,468,1046,218,109
RC2_0085,97,335,502,1912,353,1076,125,145
RC2_0086,90,269,543,2479,292,1083,170,141
RC2_0087,97,254,614,2686,363,1177,197,152
RC2_0088,68,243,709,2547,378,1055,182,124
RC2_0089,107,282,938,2387,450,1041,193,136
RC2_0090,97,237,910,2369,405,1013,201,108
RC2_0091,76,286,397,1488,158,884,79,113
RC2_0092,64,236,524,1998,190,876,143,132
RC2_0093,110,410,660,2489,343,1166,188,161
RC2_0094,92,259,727,2282,388,1063,162,132
RC2_0095,120,305,913,2203,423,867,167,145
RC2_0096,98,311,856,2216,402,909,204,151
RC2_0097,106,300,851,2089,447,893,183,166
RC2_0098,108,283,887,2170,454,916,204,145
RC2_0099,87,280,757,2335,387,981,194,151
RC2_0100,98,416,731,2574,379,1109,207,159
RC2_0101,134,447,513,1694,181,1035,109,162
RC2_0103,86,253,623,2338,311,1002,177,186
RC2_0104,78,257,667,2085,306,942,131,142
RC2_0105,99,258,888,2227,443,860,199,148
RC2_0106,77,313,834,2207,408,910,155,128
RC2_0107,169,525,536,1735,229,1039,154,241
RC2_0108,137,443,591,2344,395,1240,198,160
RC2_0109,78,322,643,2437,323,1063,171,155
RC2_0110,89,245,754,2192,434,942,194,145
RC2_0111,89,275,812,1964,352,899,158,160
RC2_0112,83,250,807,2121,377,896,175,170
RC2_0113,121,344,511,1762,251,1015,114,161
RC2_0114,91,269,474,2101,233,929,146,151
RC2_0115,84,263,617,2163,290,1130,140,152
RC2_0116,77,372,724,2109,292,932,152,197
RC2_0117,104,305,898,2205,451,904,195,155
RC2_0118,71,288,753,1889,287,905,119,152
RC2_0119,118,369,470,1748,199,985,106,141
RC2_0120,119,345,498,2287,345,1132,183,168
RC2_0121,88,262,625,2274,296,1004,171,167
RC2_0122,114,394,772,2290,404,1010,222,165
RC2_0123,114,292,906,2139,456,873,194,183
RC2_0124,89,290,858,2282,403,928,210,187
RC2_0125,114,381,501,1803,229,1041,103,143
