sample,AI.mean,AI.median,AI.sd,AI.Mod.mean,AI.Mod.median,AI.Mod.sd,DBE.mean,DBE.median,DBE.sd,DBE.O.mean,DBE.O.median,DBE.O.sd,KenMass.mean,KenMass.median,KenMass.sd,KenDef.mean,KenDef.median,KenDef.sd,NOSC.mean,NOSC.median,NOSC.sd,HtoC.mean,HtoC.median,HtoC.sd,OtoC.mean,OtoC.median,OtoC.sd,NtoC.mean,NtoC.median,NtoC.sd,PtoC.mean,PtoC.median,PtoC.sd,NtoP.mean,NtoP.median,NtoP.sd,mass.mean,mass.median,mass.sd,number.of.peaks,peaks.with.formula
RC2_0157,0.092596234,0,0.182047675,0.243500035,0.214285714,0.20735379,10.48695124,10,5.796021961,-0.038640502,-1,6.440676892,484.1601819,472.5805947,141.9662366,0.408749893,0.389140307,0.158715656,-0.356140717,-0.375,0.566432587,1.266605666,1.259259259,0.37063057,0.462012267,0.461538462,0.17817395,0.013709417,0,0.036302929,0.01443389,0,0.022690083,0.415022279,0,0.780088789,509.6157815,505.1657253,137.7039503,6637,4943
RC2_0158,0.093065664,0,0.184939126,0.245624207,0.215686275,0.211082213,10.47782377,10,5.822657718,-0.036861817,-1,6.512759057,482.151268,470.6069924,141.5809597,0.409998589,0.389188044,0.159577345,-0.33110528,-0.352941176,0.569855748,1.25793029,1.25,0.370945896,0.468546518,0.466666667,0.181215312,0.014239384,0,0.034546923,0.014287672,0,0.022922032,0.418147208,0,0.770669052,505.0588221,501.0522498,136.6767639,6790,5073
RC2_0159,0.087071764,0,0.177549042,0.244453341,0.217391304,0.206761543,10.4371909,10,5.651356742,-0.196834817,-1,6.281724382,481.5554041,470.5883251,141.865092,0.410462098,0.392862716,0.156794311,-0.300727568,-0.32,0.563225709,1.252011184,1.25,0.361004624,0.47736352,0.473684211,0.178529745,0.015999988,0,0.035904962,0.014038932,0,0.022741619,0.476005188,0,0.834295777,503.6807517,499.1972941,137.0562138,6621,5055
RC2_0160,0.092780394,0,0.18529035,0.242057408,0.210526316,0.212422034,10.3552482,10,5.641203584,-0.256347101,-1,6.506132766,479.0184889,470.7181455,136.5481811,0.414806545,0.39850509,0.157161367,-0.296893848,-0.3125,0.565782247,1.251192937,1.25,0.366030872,0.486225855,0.47826087,0.192506052,0.014818813,0,0.034625164,0.016222139,0,0.02455584,0.404147982,0,0.7576898,500.1810861,497.1881309,131.435997,7046,5278
RC2_0163,0.092142798,0,0.185782122,0.23727576,0.2,0.209969889,10.1830717,9,5.873426387,-0.101187951,-1,6.452337672,476.7109738,466.6108426,139.757649,0.398704629,0.379138881,0.163292904,-0.393131241,-0.4,0.579530745,1.286564435,1.277777778,0.381566837,0.455268844,0.454545455,0.1799713,0.012864311,0,0.036134169,0.014476718,0,0.022992914,0.40243079,0,0.783336268,501.9265343,497.2457383,135.7899672,6437,4714
RC2_0164,0.085492065,0,0.1791665,0.232831048,0.2,0.209597168,9.808548931,9,5.499367346,-0.380652418,-2,6.069169557,466.4895829,458.5702654,131.7705127,0.395527671,0.375497363,0.157071596,-0.37562232,-0.384615385,0.577345404,1.288767199,1.282051282,0.37606586,0.465002265,0.466666667,0.173533979,0.014428711,0,0.035690816,0.015187005,0,0.023392851,0.392061281,0,0.748643139,489.9606114,489.0674284,126.5672601,6058,4445
RC2_0165,0.079361698,0,0.167962247,0.225004103,0.192982456,0.201861347,9.896775462,9,5.478173499,-0.508651199,-2,6.095586026,476.6505255,468.584366,137.0197596,0.401949601,0.384799103,0.152394453,-0.362257655,-0.37966538,0.555271687,1.291709085,1.285714286,0.359553796,0.470767987,0.46875,0.174499839,0.015323405,0,0.034376694,0.015239302,0,0.023322442,0.416167665,0,0.743158721,499.2663434,497.2235022,132.3051866,6727,5086
RC2_0166,0.076019796,0,0.16555155,0.219478184,0.185185185,0.203321445,9.283172232,9,5.213482323,-0.729349736,-2,5.648702098,457.6361799,447.710243,128.9528728,0.386677264,0.366108954,0.154988806,-0.391723471,-0.4,0.585384984,1.314989733,1.295206972,0.377590823,0.468242857,0.466666667,0.171533107,0.016809546,0,0.036565223,0.016141178,0,0.023941865,0.452241715,0,0.793028698,481.4065837,479.1037794,124.2422545,6300,4552
RC2_0167,0.074855434,0,0.170404635,0.192317793,0.137931034,0.206809569,8.569221858,8,5.336204096,-1.052519791,-2,6.212872957,460.2413431,454.6616446,127.8608237,0.372687188,0.352656715,0.152851374,-0.482213703,-0.512820513,0.590845568,1.382947615,1.379310345,0.391128312,0.454228316,0.454545455,0.179364315,0.019692257,0,0.041020578,0.016990753,0,0.024326311,0.460583153,0,0.739457717,479.9023189,481.1351145,123.2322736,7384,5179
RC2_0177,0.080478475,0,0.174191338,0.222856665,0.181818182,0.211313019,9.453895072,9,5.363089762,-0.665540541,-2,5.878517479,463.3045978,456.5567956,131.1933051,0.387100658,0.365931917,0.151869373,-0.374734353,-0.4,0.593235216,1.304917558,1.3,0.379382611,0.471123959,0.46875,0.17465702,0.017049939,0,0.037523569,0.015731786,0,0.023820294,0.429086538,0,0.747669143,485.0902088,484.6158403,125.9828808,6818,5032
RC2_0178,0.076325741,0,0.167666219,0.222676234,0.191489362,0.202488994,9.520016594,9,5.445873202,-0.564405725,-2,5.919397259,465.9192367,453.6890157,136.4991717,0.390783105,0.366667757,0.161205438,-0.366507532,-0.375,0.585941918,1.305414275,1.285714286,0.370828386,0.468752342,0.466666667,0.175827208,0.018641549,0,0.039836344,0.014506255,0,0.023306308,0.472899729,0,0.816738445,484.4823589,479.1138373,131.067814,6577,4821
RC2_0179,0.084938003,0,0.177883656,0.235835357,0.2,0.205732518,10.18221164,9,5.710826996,-0.257736421,-1,6.339562372,479.3925481,466.6108426,140.8912017,0.401200901,0.381107619,0.156864672,-0.353606721,-0.37037037,0.562957919,1.277510065,1.266666667,0.365146974,0.467147403,0.466666667,0.174664401,0.014465659,0,0.035853172,0.01401644,0,0.022820434,0.385164051,0,0.753773004,500.8002463,496.159034,136.623667,6143,4621
RC2_0183,0.080298834,0,0.172643908,0.235011856,0.2,0.202916724,10.05365297,9,5.464962231,-0.426712329,-2,6.09477321,472.759535,461.6245681,135.9088715,0.404937514,0.388622362,0.155744498,-0.318751222,-0.333333333,0.55449508,1.267625005,1.260869565,0.357718487,0.480906914,0.47826087,0.175376618,0.0153809,0,0.035461516,0.015054829,0,0.023604259,0.396253602,0,0.748976961,493.0422192,487.1416256,131.2517727,5849,4380
RC2_0184,0.089284644,0,0.180443626,0.24145798,0.214285714,0.205855139,10.36560226,10,5.748161754,-0.055578011,-1,6.428309949,479.3820428,469.6548295,137.2929054,0.408028361,0.392463004,0.154769388,-0.331569107,-0.342857143,0.560140021,1.263055445,1.25,0.362287949,0.469030402,0.466666667,0.177051817,0.016595943,0,0.039704089,0.014794034,0,0.023104754,0.448621554,0,0.815518362,501.5596703,497.2351873,133.5454956,6607,4948
RC2_0187,0.087567784,0,0.180520412,0.23026442,0.2,0.208878426,10.27871306,9,5.731254759,-0.363449308,-2,6.564536323,487.3856573,478.657165,139.4803758,0.410761741,0.39451488,0.15496712,-0.35341609,-0.375,0.560143492,1.280591723,1.278888889,0.368141505,0.47258812,0.46875,0.185245058,0.014360837,0,0.034924613,0.01583043,0,0.023686894,0.434117004,0,0.780405234,510.7435711,509.0649082,134.1521666,7093,5346
RC2_0188,0.083754171,0,0.173909439,0.228788188,0.191489362,0.209350063,9.513155292,9,5.402348842,-0.416815035,-1,5.927987096,458.6234985,448.3180621,130.358445,0.38764803,0.365625568,0.155641063,-0.35977623,-0.363636364,0.591984388,1.294109498,1.285714286,0.377101398,0.468888893,0.466666667,0.177296859,0.017857633,0,0.038768501,0.015152865,0,0.023535153,0.426108374,0,0.775921135,479.7059628,476.0833299,125.8893041,6908,5055
RC2_0189,0.087701603,0,0.179828005,0.240520703,0.212121212,0.208327699,10.09030622,9,5.687381701,-0.104544568,-1,6.163907066,468.7083686,454.6969801,140.4055892,0.393048907,0.373359208,0.155995681,-0.333752659,-0.342857143,0.572670937,1.270166697,1.260869565,0.370899639,0.465851446,0.464285714,0.173093352,0.018039996,0,0.039460557,0.013825471,0,0.022973349,0.469616909,0,0.799496858,491.4372256,485.2391418,137.4961765,6843,5127
RC2_0190,0.082886592,0,0.175710428,0.231419371,0.2,0.204717452,9.814587175,9,5.550683044,-0.240114731,-1,6.055288055,468.0261039,457.5783474,138.7774363,0.392030976,0.370003445,0.160891113,-0.36964482,-0.37037037,0.574084612,1.289882749,1.275,0.367657622,0.459883118,0.461538462,0.171153834,0.017607319,0,0.039339702,0.014143171,0,0.022744513,0.41929002,0,0.770399276,489.067763,483.2154937,134.8417322,6584,4881
